,question,text_response,model_eval
0,"Normally,Over the last two weeks, how often have you experienced Depressed mood?",All the time,3
1,"Normally,Over the last two weeks, how often have you experienced Feelings of guilt?",All the time,2
2,"Normally,Over the last two weeks, how often have you experienced Suicidal thoughts?",All the time,3
3,"Normally,Over the last two weeks, how often have you experienced Difficulty falling asleep?",All the time,2
4,"Normally,Over the last two weeks, how often have you experienced Waking during the night?",All the time,2
5,"Normally,Over the last two weeks, how often have you experienced Waking during early hours of the morning?",All the time,2
6,"Normally,Over the last two weeks, how often have you experienced Impact on work and activities?",All the time,3
7,"Normally,Over the last two weeks, how often have you experienced Slowness in movements or speech?",All the time,2
8,"Normally,Over the last two weeks, how often have you experienced Agitation?",All the time,3
9,"Normally,Over the last two weeks, how often have you experienced Psychological anxiety?",All the time,3
10,"Normally,Over the last two weeks, how often have you experienced Physical complaints related to anxiety?",All the time,2
11,"Normally,Over the last two weeks, how often have you experienced Loss of appetite?",All the time,3
12,"Normally,Over the last two weeks, how often have you experienced General physical symptoms?",All the time,2
13,"Normally,Over the last two weeks, how often have you experienced Genital-sexual symptoms (loss of libido, impaired sexual performance, menstrual disturbance)?",All the time,3
14,"Normally,Over the last two weeks, how often have you experienced Health-related anxiety?",All the time,3
15,"Normally,Over the last two weeks, how often have you experienced Loss of weight?",All the time,3
16,"Normally,Over the last two weeks, how often have you experienced Lack of insight?",All the time,2
